ref_catastral
4196008DF2949
001 027 19 001
003 023 27 006
003 031 05 001
003 040 04 001
003 041 01 004
0034101XM6203N
0050018UL4705S
011 039 10 002
012 005 01 019
012 005 07 001
012 012 01 003
012 012 07 005
012 035 02 001
013 005 02 002
013 009 11 008
013 010 03 001
013 017 09 004
013 022 03 003
013 032 01 001
013 034 05 001
013 034 08 005
013 034 12 004
013 037 06 002
013 040 09 001
013 040 09 003
013 043 03 004
013 048 10 010
013 048 17 007
013 048 17 008
013 053 02 001
013 073 01 001
013 073 05 004
013 074 02 003
013 074 03 001
013 074 03 003
013 075 10 010
013 078 10 001
013 082 02 005
013 085 09 007
013 137 10 011
013 138 08 009
013 139 03 019
013 139 10 006
013 139 16 002
015 010 16 005
015 010 17 002
015 010 18 009
015 010 21 001
015 010 37 005
015 010 44 021
015 012 17 003
015 012 28 012
015 012 48 001
015 012 48 010
015 012 56 004
015 012 59 004
015 034 01 001
015 034 03 001
015 034 03 003
016 034 02 003
0170802DD5707S
019 001 04 001
019 002 03 001
019 004 01 001
019 010 03 001
020 109 01 003
020 111 02 013
020 113 01 015
020 121 01 005
020 121 01 010
020 121 01 015
020 122 01 006
020 124 05 041
020 125 03 004
020 126 04 010
020 126 05 003
020 126 05 004
020 127 05 002
020 128 01 010
020 129 01 003
020 129 01 006
020 129 01 008
020 131 01 016
020 132 02 004
020 132 02 016
020 133 01 008
020 133 01 011
020 133 01 017
020 133 01 024
020 137 01 004
020 137 01 012
020 140 01 013
020 140 01 015
020 141 01 010
020 141 01 014
020 141 04 013
020 141 06 001
020 142 01 004
020 143 01 009
020 205 07 001
020 211 01 029
020 211 01 034
020 212 04 004
020 215 02 001
020 218 01 003
020 219 05 006
020 220 02 005
020 225 03 005
020 225 04 005
020 226 03 002
020 226 04 008
020 229 04 001
020 231 02 003
020 231 03 006
020 232 03 007
020 232 04 004
020 302 02 002
020 314 05 003
020 315 03 005
020 316 05 002
020 316 06 001
020 317 06 006
020 318 07 003
020 319 04 001
020 319 08 001
020 401 02 002
020 406 06 001
020 406 06 010
020 407 01 013
020 410 01 011
020 412 01 005
020 413 01 002
020 413 01 007
020 416 01 003
020 418 01 010
020 420 01 011
020 424 03 004
020 425 01 004
020 428 01 002
020 428 01 004
020 429 05 008
020 435 05 001
020 436 01 002
020 437 01 021
020 437 01 024
020 438 05 004
020 501 02 044
020 501 02 079
020 501 05 003
020 501 05 010
020 503 01 022
020 503 02 008
020 504 07 008
020 504 07 015
020 505 04 007
020 505 05 002
020 506 03 005
020 506 10 014
020 507 02 001
020 509 01 028
020 509 01 065
020 511 02 002
020 511 02 008
020 515 01 015
020 515 01 016
020 517 01 016
020 518 07 002
020 519 03 009
020 519 05 007
020 519 05 013
020 520 02 001
020 520 03 007
020 524 01 003
020 524 01 005
020 524 02 004
020 524 02 014
020 526 04 001
020 529 09 004
020 530 01 014
020 530 35 001
020 531 02 002
020 532 02 003
020 537 01 002
020 537 01 004
020 537 01 009
020 538 02 010
020 539 01 001
020 539 04 003
020 540 01 018
020 540 01 022
020 540 01 048
020 540 01 060
020 601 05 003
020 601 05 004
020 601 05 007
020 601 08 003
020 601 17 001
020 602 01 003
020 606 01 012
020 606 01 015
020 607 01 001
020 607 03 001
020 608 01 005
020 609 01 012
020 610 07 004
020 611 05 005
020 611 06 003
020 611 06 004
020 611 06 010
020 612 02 012
020 613 07 001
020 613 12 002
020 613 12 010
020 615 01 007
020 615 02 014
020 617 02 001
020 617 04 007
020 617 05 001
020 618 01 010
020 619 05 002
020 622 02 014
020 623 02 012
020 625 01 021
020 626 02 008
020 626 03 010
020 626 03 015
020 628 01 016
020 629 01 004
020 629 05 010
020 629 06 017
020 631 01 009
020 632 01 009
020 634 03 019
020 635 01 001
020 635 01 007
020 636 02 002
020 636 02 015
020 638 01 001
020 639 02 005
020 639 03 001
020 639 03 007
020 639 04 001
020 641 01 022
020 642 01 009
020 644 01 005
020 645 04 001
020 701 01 010
020 701 02 002
020 703 01 001
020 710 01 005
020 710 01 018
020 711 01 010
020 711 01 016
020 713 01 006
020 714 01 002
020 714 02 003
020 715 01 016
020 717 04 003
020 723 01 004
020 723 03 012
020 723 04 003
020 723 09 003
020 724 01 007
020 727 10 007
020 728 01 030
020 728 02 010
020 732 01 004
020 737 04 013
020 738 01 001
020 738 01 028
020 739 02 013
020 808 01 001
020 808 05 001
020 809 07 002
020 812 05 002
020 813 07 012
020 819 01 008
020 819 02 013
020 820 06 005
020 824 03 001
022 001 10 002
027 008 02 003
