provincia;poblacion;nombre_via;num_via;bis;codigo_postal;prima_total;anio_antiguedad;numero_proyecto
BARCELONA;BARCELONA; ARENYS ;82;;8035;;;
BARCELONA;BARCELONA; ARENYS ;88;;8035;;;
BARCELONA;BARCELONA; ARIOSTO ;15;;8035;;;
BARCELONA;BARCELONA; AUGUST FONT ;17;;8035;;;
BARCELONA;BARCELONA; AUGUST FONT ;35;;8035;;;
BARCELONA;BARCELONA; AUGUST FONT ;31;;8035;;;
BARCELONA;BARCELONA; AUGUST FONT ;41;;8035;;;
BARCELONA;BARCELONA; BENLLIURE ;1;;8035;;;
BARCELONA;BARCELONA; BENLLIURE ;5;;8035;;;
BARCELONA;BARCELONA; BENLLIURE ;9;;8035;;;
BARCELONA;BARCELONA; BERRUGUETE ;32;;8035;;;
BARCELONA;BARCELONA; BERRUGUETE ;40;;8035;;;
BARCELONA;BARCELONA; BERRUGUETE ;38;;8035;;;
BARCELONA;BARCELONA; CAN TRAVI ;36;;8035;;;
BARCELONA;BARCELONA; CAN TRAVI ;41;;8035;;;
BARCELONA;BARCELONA; CAN TRAVI ;38;;8035;;;
BARCELONA;BARCELONA; CAN TRAVI ;47;;8035;;;
BARCELONA;BARCELONA; CAN TRAVI ;34;;8035;;;
BARCELONA;BARCELONA; CAN TRAVI ;45;;8035;;;
BARCELONA;BARCELONA; CAN TRAVI ;39;;8035;;;
BARCELONA;BARCELONA; CAN TRAVI 3;37;;8035;;;
BARCELONA;BARCELONA; CANÇO ;6;;8035;;;
BARCELONA;BARCELONA; CANOVES ;94;;8035;;;
BARCELONA;BARCELONA; COLLSEROLA ;26;;8035;;;
BARCELONA;BARCELONA; COLLSEROLA ;29;;8035;;;
BARCELONA;BARCELONA; COLLSEROLA ;61;;8035;;;
BARCELONA;BARCELONA; COLLSEROLA ;23;;8035;;;
BARCELONA;BARCELONA; CORTADA ;52;;8035;;;
BARCELONA;BARCELONA; FASTENRATH ;133;I;8035;;;
BARCELONA;BARCELONA; FASTENRATH ;108;;8035;;;
BARCELONA;BARCELONA; FONT BALIARDA ;7;;8035;;;
BARCELONA;BARCELONA; GUTENBERG ;2;;8035;;;
BARCELONA;BARCELONA; IDUMEA ;6;;8035;;;
BARCELONA;BARCELONA; IDUMEA ;10;;8035;;;
BARCELONA;BARCELONA; IDUMEA ;14;;8035;;;
BARCELONA;BARCELONA; JERICO ;13;;8035;;;
BARCELONA;BARCELONA; JERICO ;3;;8035;;;
BARCELONA;BARCELONA; JERICO ;11;;8035;;;
BARCELONA;BARCELONA; JERICO ;1;;8035;;;
BARCELONA;BARCELONA; JUAN DE MENA ;13;;8035;;;
BARCELONA;BARCELONA; JUAN DE MENA ;11;;8035;;;
BARCELONA;BARCELONA; JUAN DE MENA ;9;;8035;;;
BARCELONA;BARCELONA; JUAN DE MENA ;15;;8035;;;
BARCELONA;BARCELONA; JUAN DE MENA ;29;;8035;;;
BARCELONA;BARCELONA; JUAN DE MENA ;27;;8035;;;
BARCELONA;BARCELONA; JUAN DE MENA ;5;;8035;;;
BARCELONA;BARCELONA; JUAN DE MENA ;25;;8035;;;
BARCELONA;BARCELONA; L'HARMONIA ;2;;8035;;;
BARCELONA;BARCELONA; L'HARMONIA ;33;;8035;;;
BARCELONA;BARCELONA; L'HARMONIA ;5;;8035;;;
BARCELONA;BARCELONA; L'HARMONIA ;6;;8035;;;
BARCELONA;BARCELONA; L'HARMONIA ;3;;8035;;;
BARCELONA;BARCELONA; L'HARMONIA ;35;;8035;;;
BARCELONA;BARCELONA; LORDA ;20;;8035;;;
BARCELONA;BARCELONA; MARE DE DEU DELS ANGELS ;97;;8035;;;
BARCELONA;BARCELONA; MARE DE DEU DELS ANGELS ;50;;8035;;;
BARCELONA;BARCELONA; MARE DE DEU DELS ANGELS ;45;;8035;;;
BARCELONA;BARCELONA; NAÏM ;1;;8035;;;
BARCELONA;BARCELONA; NAÏM ;4;;8035;;;
BARCELONA;BARCELONA; NAÏM ;5;;8035;;;
BARCELONA;BARCELONA; NAÏM ;3;;8035;;;
BARCELONA;BARCELONA; NATZARET ;7;;8035;;;
BARCELONA;BARCELONA; NATZARET ;17;;8035;;;
BARCELONA;BARCELONA; NAVATA ;21;;8035;;;
BARCELONA;BARCELONA; NAVATA ;6;;8035;;;
BARCELONA;BARCELONA; PEREA ;1;;8035;;;
BARCELONA;BARCELONA; RITME ;2;;8035;;;
BARCELONA;BARCELONA; ROIG I SOLE ;2;;8035;;;
BARCELONA;BARCELONA; ROIG I SOLE ;18;;8035;;;
BARCELONA;BARCELONA; ROIG I SOLE ;6;;8035;;;
BARCELONA;BARCELONA; ROSELLA ;13;;8035;;;
BARCELONA;BARCELONA; ROSELLA ;32;;8035;;;
BARCELONA;BARCELONA; RUBIO I BALAGUER ;75;;8035;;;
BARCELONA;BARCELONA; RUBIO I BALAGUER ;83;;8035;;;
BARCELONA;BARCELONA; RUBIO I BALAGUER ;71;;8035;;;
BARCELONA;BARCELONA; RUBIO I BALAGUER ;69;;8035;;;
BARCELONA;BARCELONA; RUBIO I BALAGUER ;73;;8035;;;
BARCELONA;BARCELONA; RUBIO I BALAGUER ;79;;8035;;;
BARCELONA;BARCELONA; RUBIO I BALAGUER ;77;;8035;;;
BARCELONA;BARCELONA; RUBIO I BALAGUER ;67;;8035;;;
BARCELONA;BARCELONA; RUBIO I BALAGUER ;63;;8035;;;
BARCELONA;BARCELONA; SAMANIEGO ;66;;8035;;;
BARCELONA;BARCELONA; SANT CRISPI ;11;;8035;;;
BARCELONA;BARCELONA; SANT CRISPI ;19;;8035;;;
BARCELONA;BARCELONA; SANT DALMIR ;27;;8035;;;
BARCELONA;BARCELONA; SANTA ALBINA ;30;;8035;;;
BARCELONA;BARCELONA; SANTA ROSALIA ;39;;8035;;;
BARCELONA;BARCELONA; SANTA ROSALIA ;9;;8035;;;
BARCELONA;BARCELONA; SANTA ROSALIA ;40;;8035;;;
BARCELONA;BARCELONA; SANTA ROSALIA ;64;;8035;;;
BARCELONA;BARCELONA; SANTA ROSALIA ;68;;8035;;;
BARCELONA;BARCELONA; SANTA ROSALIA ;21;;8035;;;
BARCELONA;BARCELONA; TIRO ;6;;8035;;;
BARCELONA;BARCELONA; TIRO ;2;;8035;;;
BARCELONA;BARCELONA; TRULLOLS ;12;;8035;;;
BARCELONA;BARCELONA; TRULLOLS ;7;;8035;;;
BARCELONA;BARCELONA; TRULLOLS ;7;B;8035;;;
BARCELONA;BARCELONA; VENTURA RODRIGUEZ ;13;;8035;;;
BARCELONA;BARCELONA; VENTURA RODRIGUEZ ;2;;8035;;;
BARCELONA;BARCELONA; VENTURA RODRIGUEZ ;11;;8035;;;
BARCELONA;BARCELONA; VENTURA RODRIGUEZ ;15;;8035;;;
BARCELONA;BARCELONA; VENTURA RODRIGUEZ ;7;;8035;;;
BARCELONA;BARCELONA;COLL I ALENTORN ;11;;8035;;;
BARCELONA;BARCELONA;ELIES PAGES ;41;;8035;;;
BARCELONA;BARCELONA;JORDA ;30;;8035;;;
BARCELONA;BARCELONA;JORDA ;29;;8035;;;
BARCELONA;BARCELONA;JORDA ;9;;8035;;;
BARCELONA;BARCELONA;L'ESTATUT DE CATALUNYA ;5;;8035;;;
BARCELONA;BARCELONA;L'ESTATUT DE CATALUNYA ;9;;8035;;;
BARCELONA;BARCELONA;CAL TOTXO ;24;;8035;;;
BARCELONA;BARCELONA;COMTES D'AGUDELLS ;87;;8035;;;
BARCELONA;BARCELONA;COMTES D'AGUDELLS ;44;;8035;;;
BARCELONA;BARCELONA;COMTES D'AGUDELLS ;81;;8035;;;
BARCELONA;BARCELONA;COMTES D'AGUDELLS ;78;;8035;;;
BARCELONA;BARCELONA;VALLVIDRERA AL TIBIDABO ;57;;8035;;;
BARCELONA;BARCELONA;AIGÜES ;362;;8035;;;
BARCELONA;BARCELONA;SANT CUGAT ;34;;8035;;;
BARCELONA;BARCELONA;SANT CUGAT ;37;;8035;;;
BARCELONA;BARCELONA;SANT CUGAT ;35;;8035;;;
BARCELONA;BARCELONA;SANT CUGAT ;31;;8035;;;
BARCELONA;BARCELONA;SANT CUGAT ;21;;8035;;;
BARCELONA;BARCELONA;VALL D'HEBRON ;198;;8035;;;
BARCELONA;BARCELONA;VALL D'HEBRON ;200;;8035;;;
BARCELONA;BARCELONA;VALL D'HEBRON ;210;;8035;;;
BARCELONA;BARCELONA;VALL D'HEBRON ;204;;8035;;;
BARCELONA;BARCELONA;VALL D'HEBRON ;208;;8035;;;
BARCELONA;BARCELONA;VALL D'HEBRON ;202;;8035;;;
BARCELONA;BARCELONA;VALL D'HEBRON ;206;;8035;;;
BARCELONA;BARCELONA;MONTBAU ;8;;8035;;;
BARCELONA;BARCELONA;ZURBARAN ;1;;8035;;;
